,Monophyletic? (1=yes),Number of Datasets in group,Complement NOT in group
Aves,1,82,
Theropoda,0,219,
Saurischia exc. Theropoda,0,169,
Ornithischia,1,184,
Pterosauria,1,17,
Crocodylomorpha,1,97,
Ichthyopterygia,1,23,
Sauropterygia,1,51,
Rhynchocephalia,1,11,
Mammals,1,28,
Non-mammalian non-diapsids e.g. cynodonts,0,35,
Early Tetrapods,0,29,
,,,
Non-Tetrapoda Sarcopterygii,0,41,
OR ,,,
Actinistia,1,24,
,,,
Actinopterygii,1,19,
Chondrichthyes,1,6,
Arthropoda,1,54,
Brachiopoda,1,9,
Echinodermata,1,13,
Mollusca,1,26,
Plantae,1,5,
,,,
,,,
,,1118,
