File / Data,Focal Group,,Grouping_for_statistical_tests,Grouping_tests_MW,,,,,,,,,,,Infraphylum,Phylum,Kingdom,Paper Title,Year Published,Journal/Book,CI,RI,L,#mpts,MinL,TSI,PSI,meanci,meanri,MHER,originalchars,uninformativechars,informativechars,Taxa,%missingchars,Average GC standard bootstrap support,average jackknife support,Average symmetric resampling support,1st taxon in matrix (1st 10 chars),2nd taxon,3rd taxon,4th,5th,6th
Adrain_1998a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematics of the Acanthoparyphinae (Trilobita), with species from the Silurian of Arctic Canada",1998,Journal of Paleontology,0.581,0.834,86,4,50,0.558,0.961,0.318,0.297,0.724,39,0,39,24,5.9,41.3,16.5,45.1,,,,,,
Adrain_et_Edgecombe_1997a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Silurian encrinurine trilobites from the central Canadian Arctic,1997,Palaeontographica Canadiana,0.431,0.641,130,5,56,0.338,0.785,0.384,0.316,0.395,40,0,40,32,8.3,26.3,10.3,29.5,,,,,,
Adrain_et_Ramskold_1997a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Silurian Odontopleurinae (Trilobita) from the Cape Phillips Formation, Arctic Canada",1997,Journal of Paleontology,0.9,0.951,20,1,18,0.6,0.667,0.429,0.426,0.895,17,2,15,10,2.4,60.8,34.9,62.5,,,,,,
Adrain_etal_2001a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematics of the Ordovician trilobites <em>Ischyrotoma</em> and <em>Dimeropygiella</em>, with species from the type Ibexian Area, western U.S.A.",2001,Journal of Paleontology,0.636,0.808,55,5,35,0.273,0.429,0.395,0.371,0.655,25,0,25,18,12.4,47,17.2,50.9,,,,,,
Amati_et_Westrop_2004a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,A systematic revision of <em>Thaleops</em> (Trilobita: Illaenidae) with new species from the middle and late Ordovician of Oklahoma and New York,2004,Journal of Systematic Palaeontology,0.571,0.766,70,4,40,0.3,0.525,0.428,0.388,0.563,20,0,20,28,7.1,22.9,6,27.9,,,,,,
Amati_etal_2004a.tnt,Decapoda,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,A new family of Triassic lobsters (Decapoda: Astacida) from British Columbia and its phylogenetic context,2004,Journal of Paleontology,0.559,0.781,68,1456,38,0.074,0.132,0.356,0.349,0.594,21,1,20,31,2.9,21.8,6.8,24.7,,,,,,
Bentley_et_Jago_2004a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Wuaniid trilobites of Australia,2004,Memoirs of the Association of Australasian Palaeontologists,0.266,0.594,94,2429,25,0.011,0.04,0.259,0.471,0.106,14,0,14,38,3.8,5.8,3,7,,,,,,
Caron_etal_2004a.tnt,Nektaspida,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"A new Late Silurian (Pridolian) naraoiid (Euarthropoda: Nektaspida) from the Bertie Formation of southern Ontario, Canada: delayed fallout from the Cambrian Explosion",2004,Journal of Paleontology,0.786,0.85,14,1,11,0.643,0.818,0.792,0.368,0.687,12,1,11,11,6.1,60.5,23.4,59.4,,,,,,
Chatterton_1994aa.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Ordovician proetide trilobite <em>Dimeropyge</em>, with a new species from northwestern Canada",1994,Journal of Paleontology,0.578,0.732,45,1,26,0.333,0.577,0.492,0.274,0.518,21,0,21,14,1,35.9,15.1,40.9,,,,,,
Chatterton_1994ab.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Ordovician proetide trilobite <em>Dimeropyge</em>, with a new species from northwestern Canada",1994,Journal of Paleontology,0.578,0.721,45,1,26,0.333,0.577,0.535,0.307,0.504,21,0,21,14,1,35.7,14.6,40.9,,,,,,
Cronier_2003a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Systematic relationships of the blind phacopine trilobite <em>Trimerocephalus</em>, with a new species from Causses_et_Veyran, Montagne Noire",2003,Acta Palaeontologica Polonica,0.69,0.719,29,3,20,0.379,0.55,0.355,0.207,0.35,23,11,12,14,4.3,22.7,12.7,21.8,,,,,,
Dunlop_et_Selden_1997a.tnt,Chelicerata,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,The early history and phylogeny of the chelicerates,1997,Arthropod Relationships,0.784,0.86,37,87,29,0.162,0.207,0.455,0.377,0.685,25,8,17,18,28,27.1,10.3,27.9,,,,,,
Ebach_et_Ahyong_2001a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Phylogeny of the trilobite subgenus <em>Acanthopyge (Lobopyge)</em>,2001,Cladistics,0.377,0.616,61,12,23,0.344,0.913,0.409,0.499,0.1,15,0,15,25,12,10.7,5.1,12.3,,,,,,
Ebbestad_et_Budd_2002a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"Burlingiid trilobites from Norway, with a discussion of their affinities and relationships",2002,Palaeontology,0.412,0.732,51,2875,21,0.098,0.238,0.315,0.448,0.457,22,1,21,21,12.8,19.9,8.8,21,,,,,,
Edgecombe_et_Ramskold_1999a.tnt,Trilobita,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,Relationships of Cambrian Arachnata and the systematic position of Trilobita,1999,Journal of Paleontology,0.745,0.797,55,10,41,0.491,0.659,0.719,0.33,0.648,29,0,29,19,17.2,47.6,20.6,50.4,,,,,,
Karasawa_et_Kato_2003a.tnt,Crustacea,,Arthropoda,Ecdysozoa,,,,,,,,,,,,Arthropoda,Animalia,"The family Goneplacidae MacLeay, 1838 (Crustacea: Decapoda: Brachyura): systematics, phylogeny, and fossil records",2003,Paleontological Research,0.608,0.824,74,2,45,0.432,0.711,0.373,0.325,0.718,45,3,42,18,1.9,64.6,31.4,69.2,,,,,,
