"File / Data","Focal Group","Grouping for statistical tests",,,,,,,,,,,"Infraphylum","Phylum","Kingdom","Paper Title","Year Published","Journal/Book","CI","RI","L","#mpts","MinL","TSI","PSI","meanci","meanri","MHER","originalchars","uninformativechars","informativechars","Taxa","%missingchars","1st taxon in matrix (1st 10 chars)","2nd taxon","3rd taxon","4th","5th","6th"
"Cau_et_Arduini_2008a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","Enantiophoenix electrophyla gen. et sp. nov. (Aves, Enantiornithes) from the Upper Cretaceous (Cenomanian) of Lebanon and its phylogenetic relationships",2008,"Atti della Societa Italiana di Scienze Naturali e del Museo Civico di Storia Naturale in Milano",0.447,0.622,541,1,242,0.0942699,0.210895,0.420448,0.296667,0.414724,192,3,189,36,55.1793981481,,,,,,
"Chiappe_1993a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","Enantiornithine (Aves) tarsometatarsi from the Cretaceous Lecho Formation of northwestern Argentina",1993,"American Museum Novitates",0.833,0.875,12,1,10,0.416667,0.5002,0.8,0.6,0.714286,10,0,10,8,15,,,,,,
"Chiappe_1995a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","The phylogenetic position of the Cretaceous birds of Argentina: Enantiornithes and Patagopteryx deferrariisi",1995,"Courier Forschungsinstitut Senckenberg",0.852,0.892,81,1,69,0.395062,0.463687,0.853881,0.856164,0.830437,73,5,68,8,17.4657534247,,,,,,
"Chiappe_et_Calvo_1994a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","Neuquenornis volans, a new Late Cretaceous bird (Enantiornithes: Avisauridae) from Patagonia, Argentina",1994,"Journal of Vertebrate Paleontology",0.852,0.891,81,1,69,0.382716,0.449197,0.529616,0.289932,0.828424,73,5,68,8,17.8082191781,,,,,,
"Chiappe_et_Walker_2002a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","Skeletal morphology and systematics of the Cretaceous Euenantiornithes (Ornithothoraces: Enantiornithes)",2002,"Mesozoic Birds: Above the Heads of Dinosaurs",0.724,0.714,29,10000,21,0,0,0.449083,0.393528,0.116022,36,16,20,17,63.3986928105,,,,,,
"Chiappe_etal_2007a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","A new enantiornithine bird from the Late Cretaceous of the Gobi Desert",2007,"Journal of Systematic Palaeontology",0.653,0.769,72,3,47,0.194444,0.297771,0.547043,0.332261,0.5905,46,2,44,16,33.4239130435,,,,,,
"Farke_et_Patel_2012a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","An enantiornithine bird from the Campanian Kaiparowits Formation of Utah, USA",2012,"Cretaceous Research",0.454,0.668,625,7041,284,0.024,0.0528634,0.355393,0.247607,0.511671,242,27,215,36,51.1937557392,,,,,,
"Hu_etal_2011a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","A new enantiornithine bird from the Lower Cretaceous of western Liaoning, China",2011,"Journal of Vertebrate Paleontology",0.561,0.676,107,56,60,0.0747664,0.133273,0.499037,0.357352,0.449004,54,2,52,18,35.3909465021,,,,,,
"Hu_etal_2012a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","A new enantiornithine bird from the Lower Cretaceous of western Liaoning, China, and its implications for early avian evolution",2012,"Journal of Vertebrate Paleontology",0.549,0.8,466,3,256,0.120172,0.218892,0.291351,0.233546,0.703758,205,13,192,30,38.2601626016,,,,,,
"Ji_etal_2011a.tnt","Enantiornithes","Aves","Theropoda","Dinosauromorpha","Avemetatarsalia","Archosauromorpha","Diapsida","Sauropsida","Amniota","Tetrapoda","Sarcopterygii","Osteichthyes","Gnathostomata","Chordata","Animalia","A new, three-dimensionally preserved enantiornithine bird (Aves: Ornithothoraces) from Gansu Province, north-western China",2011,"Zoological Journal of the Linnean Society",0.474,0.673,597,3,283,0.0887772,0.187294,0.325934,0.249554,0.519944,242,28,214,33,49.8372151265,,,,,,
